pixel,intensity
1647,0.0
1646,0.0
1645,0.0
1644,0.0
1643,0.0
1642,0.0
1641,0.0
1640,0.0
1639,0.0
1638,0.0
1637,1.0
1636,4.0
1635,4.0
1634,4.0
1633,3.0
1632,2.0
1631,7.9198648633224735
1630,7.9198648633224735
1629,7.9198648633224735
1628,7.9198648633224735
1627,7.9198648633224735
1626,7.9198648633224735
1625,7.9198648633224735
1624,7.9198648633224735
1623,5.9198648633224735
1622,6.9198648633224735
1621,7.7867702448704526
1620,8.65367562641843
1619,8.611254824271752
1618,6.9198648633224735
1617,7.9198648633224735
1616,7.9198648633224735
1615,10.190760567842345
1614,11.190760567842345
1613,11.190760567842345
1612,12.190760567842345
1611,12.190760567842345
1610,13.190760567842345
1609,13.190760567842345
1608,14.190760567842345
1607,0.0
1606,0.0
1605,0.0
1604,0.0
1603,0.0
1602,0.0
1601,0.0
1600,0.0
1599,0.0
1598,0.0
1597,0.0
1596,0.0
1595,0.0
1594,0.0
1593,0.0
1592,0.0
1591,0.0
1590,0.0
1589,0.0
1588,0.0
1587,0.0
1586,0.0
1585,0.0
1584,0.0
1583,8.45694980474639
1582,8.45694980474639
1581,8.45694980474639
1580,8.45694980474639
1579,0.0
1578,0.0
1577,0.0
1576,0.0
1575,0.0
1574,0.0
1573,0.0
1572,0.0
1571,0.0
1570,0.0
1569,0.0
1568,0.0
1567,0.0
1566,0.0
1565,0.0
1564,0.0
1563,0.0
1562,0.0
1561,0.0
1560,0.0
1559,0.0
1558,0.0
1557,0.0
1556,0.0
1555,0.0
1554,0.0
1553,0.0
1552,0.0
1551,3.382779921898556
1550,3.382779921898556
1549,3.382779921898556
1548,3.382779921898556
1547,3.382779921898556
1546,3.382779921898556
1545,3.382779921898556
1544,3.382779921898556
1543,3.382779921898556
1542,3.382779921898556
1541,3.382779921898556
1540,3.382779921898556
1539,3.382779921898556
1538,3.382779921898556
1537,3.382779921898556
1536,3.382779921898556
1535,1.3832570260078203
1534,1.3832570260078203
1533,1.3832570260078203
1532,0.9221713506718803
1531,0.0
1530,0.0
1529,0.0
1528,0.0
1527,4.0
1526,2.5370849414239167
1525,3.382779921898556
1524,3.382779921898556
1523,8.693293358006791
1522,9.61473931296495
1521,6.850401448090469
1520,3.382779921898556
1519,8.0
1518,8.0
1517,8.0
1516,10.0
1515,10.0
1514,2.0
1513,2.0
1512,1.0
1511,0.0
1510,0.0
1509,0.0
1508,0.0
1507,0.0
1506,0.845694980474639
1505,1.691389960949278
1504,3.382779921898556
1503,0.0
1502,0.0
1501,0.0
1500,0.0
1499,0.0
1498,0.0
1497,0.0
1496,0.0
1495,0.0
1494,0.0
1493,0.0
1492,0.0
1491,2.0
1490,3.0
1489,3.0
1488,3.0
1487,3.382779921898556
1486,3.382779921898556
1485,3.382779921898556
1484,3.382779921898556
1483,3.382779921898556
1482,3.382779921898556
1481,3.382779921898556
1480,5.9198648633224735
1479,4.228474902373195
1478,5.074169882847834
1477,5.9198648633224735
1476,6.765559843797113
1475,9.765559843797114
1474,11.611254824271752
1473,11.611254824271752
1472,12.45694980474639
1471,2.1496046148071044
1470,2.1496046148071044
1469,3.382779921898556
1468,3.382779921898556
1467,0.0
1466,0.0
1465,0.0
1464,0.0
1463,0.0
1462,0.0
1461,0.0
1460,0.0
1459,0.0
1458,0.0
1457,0.0
1456,0.0
1455,8.45694980474639
1454,8.45694980474639
1453,8.45694980474639
1452,8.45694980474639
1451,0.0
1450,0.0
1449,0.0
1448,0.0
1447,0.0
1446,0.0
1445,0.0
1444,0.0
1443,8.45694980474639
1442,8.45694980474639
1441,8.45694980474639
1440,8.45694980474639
1439,8.45694980474639
1438,8.45694980474639
1437,8.45694980474639
1436,8.45694980474639
1435,8.45694980474639
1434,8.45694980474639
1433,8.45694980474639
1432,8.45694980474639
1431,9.45694980474639
1430,9.45694980474639
1429,9.45694980474639
1428,9.45694980474639
1427,9.420173558606312
1426,9.420173558606312
1425,9.420173558606312
1424,9.420173558606312
1423,13.53111968759422
1422,13.53111968759422
1421,13.53111968759422
1420,13.53111968759422
1419,1.9264475077198444
1418,2.8896712615797666
1417,3.963223753859922
1416,4.0
1415,1.0
1414,1.0
1413,1.0
1412,1.0
1411,1.0
1410,1.0
1409,1.5374011537017762
1408,1.5374011537017762
1407,11.839729726644943
1406,11.839729726644943
1405,11.839729726644943
1404,11.839729726644943
1403,3.382779921898556
1402,3.382779921898556
1401,3.382779921898556
1400,3.382779921898556
1399,0.0
1398,0.0
1397,0.0
1396,0.0
1395,0.0
1394,0.0
1393,0.0
1392,0.0
1391,12.45694980474639
1390,12.45694980474639
1389,8.45694980474639
1388,8.45694980474639
1387,0.0
1386,0.0
1385,0.0
1384,0.0
1383,0.0
1382,0.0
1381,0.0
1380,0.0
1379,2.0
1378,5.0
1377,5.0
1376,5.0
1375,0.9632237538599222
1374,0.9632237538599222
1373,0.0
1372,0.0
1371,0.0
1370,0.0
1369,0.0
1368,0.0
1367,0.0
1366,0.0
1365,0.0
1364,0.0
1363,0.0
1362,0.0
1361,0.0
1360,0.0
1359,3.382779921898556
1358,3.382779921898556
1357,3.382779921898556
1356,3.382779921898556
1355,3.382779921898556
1354,3.382779921898556
1353,3.382779921898556
1352,3.382779921898556
1351,3.382779921898556
1350,3.382779921898556
1349,3.382779921898556
1348,3.382779921898556
1347,3.382779921898556
1346,3.382779921898556
1345,3.382779921898556
1344,3.382779921898556
1343,0.0
1342,0.0
1341,0.0
1340,0.0
1339,0.0
1338,0.0
1337,0.0
1336,0.0
1335,7.0
1334,7.0
1333,7.0
1332,5.0
1331,0.0
1330,0.0
1329,0.0
1328,0.0
1327,1.0
1326,1.0
1325,1.0
1324,1.0
1323,1.0
1322,1.0
1321,1.0
1320,1.0
1319,8.45694980474639
1318,8.45694980474639
1317,8.45694980474639
1316,8.45694980474639
1315,8.45694980474639
1314,8.45694980474639
1313,8.45694980474639
1312,8.45694980474639
1311,5.382779921898557
1310,3.382779921898556
1309,3.382779921898556
1308,5.116590684994513
1307,5.116590684994513
1306,3.382779921898556
1305,3.382779921898556
1304,5.382779921898557
1303,3.382779921898556
1302,3.382779921898556
1301,3.382779921898556
1300,3.382779921898556
1299,3.382779921898556
1298,3.382779921898556
1297,3.382779921898556
1296,3.382779921898556
1295,4.0
1294,4.0
