principal component 1,principal component 2,target
-0.4593504972693796,-12.855845655134413,B
-2.8377330235805864,-5.742622191142628,B
-4.563946173046439,-12.300948414728769,B
-7.170777128108305,-10.334347596285669,B
-6.109506716218842,-7.731225656257926,B
-6.710257511898287,-8.382004886622507,B
-2.884255842625125,-5.0107944266651865,B
-4.5906104683872115,-6.092586405629449,B
-2.670514605021218,-6.153098738650035,B
-4.386399759869496,-7.275950381221802,B
-1.3706605332258768,-5.787500035078356,B
-3.6864833074099703,-5.294870830387619,B
-2.737439202454695,-11.577628667332947,B
-6.942682114335296,-6.941850249893057,B
-0.040992176875904285,-14.486140420328827,B
-1.168580168030889,-9.779619366141688,B
-1.7204903735013954,-12.827560135592728,B
-2.0999325524090513,-14.15828252259968,B
-1.8518797024964688,-11.690664640909427,B
-1.854119392148104,-14.129579130771788,B
-1.6417041496574103,-11.66402654132471,B
-5.108223065101989,-12.352133213423137,B
0.022760045407751228,-14.130174627305484,B
-3.4740288710626444,-7.189952306765274,B
1.4955586468200912,-8.670347722604793,B
-1.6289720813588402,-10.27124018364443,B
1.1577371864661896,-7.996118309192929,B
-0.19573727254432516,-14.219520417019336,B
1.1338740185997551,-17.737575659757823,B
-0.7208139344169338,-15.42971741972582,B
0.9884930873049038,-17.2060980912521,B
-1.190810257032231,-14.57324949313335,B
1.9756503765691908,-14.886124839252586,B
0.3019902864812938,-14.322853698339204,B
-0.36618513159007815,-13.688491100168063,B
-2.798448382712008,-11.603476711087666,B
-3.98651618939929,-14.946998386257562,B
-6.388452030823872,-13.186296682712243,B
-0.8267962638964299,-15.274111922791002,B
-2.312789524661647,-13.089964275822705,B
-1.741040748558368,-15.108423325715188,B
-3.0431263955072168,-12.682459819701961,B
-0.7231703720786018,-7.725041592411711,B
-2.9454587740309512,-12.040661445425176,B
-0.44618737464345193,-8.28757845359905,B
-2.5638473968841575,-11.878305340684893,B
-1.3022935474755588,-5.012580139430391,B
-8.600754428571346,-1.8550999558440604,B
-3.5969824812576654,1.4954172439417943,B
-9.761170749601714,-1.9085024524723364,B
-0.17098037969441915,-16.312814782683002,B
-0.8203170529786208,-15.97783221794422,B
1.634200222275032,-18.562141805148833,B
0.15745766508389103,-18.027911795753084,B
1.4116757450290773,-19.75936467234846,B
-1.5441881581786774,-19.565523505254156,B
4.113986616616387,-19.016687666851517,B
7.021724808227692,-14.738384540216144,B
1.890427675498275,-19.64594768346722,B
4.682935926425325,-22.025591768004922,B
0.2210719800689498,-18.864041950740436,B
-0.47897542725272313,-18.958094394607244,B
0.18829929909121912,-15.878351249268217,B
-1.9443675532390823,-13.488315736593716,B
2.16459008236086,-19.53539865840667,B
-0.8499611717380287,-17.0815902654004,B
-1.9314249095936047,-14.53723700376717,B
-4.461353337818449,-10.015707036375039,B
1.4279861722876515,-20.142467684767674,B
0.4922080605645407,-17.696181210989494,B
4.44810811149054,-19.67620189351623,B
0.3856327224390643,-16.79920152945148,B
4.936901311239065,-21.52381543760007,B
2.145835827547754,-18.68846192713112,B
-0.47791558573703696,-16.744980920320714,B
-2.909068831986207,-16.112364630734824,B
1.1743046678188458,-21.621245017608246,B
-1.5023718384006566,-19.43817923042056,B
3.8408278502457955,-16.581768940402966,B
-2.0321185654095375,-18.381989012152765,B
0.769536994510708,-10.274008680485696,B
-3.9427427696562765,-17.647839492596255,B
1.8479851808534367,-10.041737730770587,B
-4.9700953767293985,-17.539005535441177,B
5.9163031004735185,-20.352390950050378,B
6.180551880502011,-21.284857502462458,B
22.096481728266454,-3.2542185665703016,B
24.189247877845617,-6.081924467887692,B
7.209162948383961,-20.701699046985024,B
5.88759584140793,-17.747687381748392,B
1.6499273985941674,-16.369824284987338,B
-0.08688773523793092,-17.36916251834407,B
20.88966642720041,5.866281494769366,R
11.020467879996149,6.715766801450139,R
14.826978481132794,8.50179812841924,R
3.256233525446611,8.033340710246506,R
11.512413977008405,6.389178568587034,R
-1.2053980221800438,10.752124190467345,R
10.653797376987427,7.644057340735379,R
-4.096074278197985,12.664123545343726,R
9.430193758245743,6.540455863475451,R
-3.7812021649176204,11.185077632746859,R
14.967916870832893,5.697667456793368,R
8.219356476968745,7.803852852864746,R
6.62629536896841,5.3931224870157894,R
-0.4095861117279953,7.850478438513175,R
9.95815105646182,2.936744115760056,R
3.704773695679865,6.31493679040823,R
7.739339634729451,2.9988410891175485,R
0.16396588610640347,3.973385210934204,R
11.231823173049957,5.884064345139233,R
5.770136739695884,6.613594399438801,R
15.646920775074825,9.04271321736365,R
8.953217078459705,8.4419270666892,R
21.467875570612797,6.249602461568709,R
13.530519145308036,5.89390100115414,R
7.082810680178665,6.852244658883528,R
-0.04185260017079884,10.672900555386956,R
-4.72655547729131,8.376859185486964,R
-10.032612896380195,10.016756330440154,R
-4.178286236920901,9.02074970973693,R
-11.884068064425048,10.965642239473862,R
-0.5224925090805685,12.721890973277237,R
-4.352023164216205,13.164040504780964,R
8.52151949885799,2.9139324780407114,R
3.3280073935955583,5.229405207479468,R
12.699614242996518,2.250599838865625,R
7.5054599862328395,4.906105194745346,R
12.593402492864328,0.4925699592969246,R
7.720100388282903,3.142674710041182,R
12.774478039680242,2.847021499284029,R
6.916689531782543,5.933383937978046,R
14.518808865228065,1.8155463538122607,R
10.40177067727825,3.5648569525786975,R
12.97018752396018,2.148392857772794,R
9.831929179334638,3.292773180793294,R
3.8248421296543555,6.041966451912516,R
0.568662748115506,6.3120515941472615,R
8.8840466162657,4.386745364750542,R
3.0923626421976698,6.146843415843954,R
0.32889483024952626,3.274135934297488,R
-5.035076287450506,3.956993024091189,R
6.396855002137615,5.781177203272714,R
-0.3474003130284511,6.796257376515568,R
2.547219258240854,6.9455235340779025,R
-2.2657816887544664,8.401527913178516,R
-0.7930057660278824,5.798271420737121,R
-5.69616967271002,7.4408020692262316,R
2.517483269887073,7.935385211332371,R
-2.540420092126212,7.406939606806743,R
18.622915198569714,5.495241132951316,R
14.287888086575835,8.601300038157092,R
7.928316287501194,-1.209951577596205,R
4.038783278921198,6.292230740259854,R
5.729977460248993,2.7307667340992645,R
-0.5772319877822794,8.102939558581634,R
11.747647817119397,11.334021808766453,R
2.3945045056123577,10.787854082606028,R
7.394404573627358,13.112256501022582,R
-4.924128278184389,8.812726938563413,R
12.957667335077934,9.668155940129855,R
-3.8624557644472475,9.258330790245925,R
17.260293385711332,5.568881802512624,R
13.545119146752665,5.646720983980058,R
11.571213275599224,0.7782712239437095,R
6.3931396701066046,3.434229392815093,R
19.03261094785399,4.992096609217967,R
18.239668233372385,6.0525477666519265,R
5.919292759668263,-1.0387921798901143,R
-1.9169434284326006,4.998890972567483,R
5.477827044087078,-1.529285580451151,R
-0.6823758118991632,2.689469269248555,R
5.604645052313449,-1.303449976544622,R
0.6804548168448519,0.3890058599994606,R
10.385482884953245,5.90975690624048,R
4.164486518447752,3.4573079435221157,R
9.974671540037242,2.4741223064673337,R
4.798601543007347,1.7888772411302518,R
19.1056164396789,8.793739731719791,R
12.570023457636193,9.910661684439951,R
9.138142830272027,4.533252408644719,R
2.9265474299752574,3.2260098263256634,R
8.155303191941039,6.308216894125678,R
4.505127932497089,0.2777544573370516,R
16.852718808138615,13.61440752196586,R
15.799307101875659,14.349988199066845,R
7.104310149395155,2.9096940357250634,R
8.101748677643505,0.3801552813158512,R
10.64133207684833,1.882452756904763,R
11.11558452738645,0.8016169167535696,R
15.193277272877493,1.3213114046286845,R
8.934443336903502,3.242348829116536,R
10.259413922861448,3.0655842680501744,R
11.077102023146345,2.1532743944678345,R
10.939092521251972,2.9063058218002347,R
18.01827856665622,1.3345632912402756,R
18.206982043951992,1.8037968704955532,R
8.825856188574246,5.7430061324498185,R
9.177481256521538,8.362450990856265,R
15.619794247430216,2.617762207980485,R
8.245684219760717,8.537256779251347,R
6.131650189989765,4.393734758122401,R
0.13872594856086318,9.387390644249901,R
7.644951450983963,4.632056868624637,R
1.5753949648211494,9.546499953162613,R
5.307167992035257,3.5510287892999433,R
-1.1268630811029663,8.809598452343067,R
18.671282527322063,-0.589621456910308,R
22.081038417024534,0.08219667035944589,R
16.523911307917224,-1.113014832817674,R
17.50999602404874,-1.9318646109730482,R
7.909389536789425,-1.5215353148936823,R
9.758758013619007,-3.786342943713054,R
10.436261366392872,-1.2037402799978056,R
11.319386045981235,-5.325900150875483,R
13.432567583248774,2.8839003815397386,R
16.91153540698465,-2.056229668326166,R
17.403694720873624,-0.5511528304311097,R
22.38097259629747,1.5649588743214302,R
17.542679668935534,1.2189104639527022,R
22.083572545661347,5.840480792066046,R
21.920430658991545,7.253978239982262,R
24.66192568413772,7.58555653797831,R
21.97264156739824,10.83091896323103,R
22.330841677663578,10.034414974484875,R
23.872267401935186,13.871551925622898,R
25.734065397214515,12.89910528448618,R
20.083495490253764,0.9571152430902812,R
20.847294051271483,0.654170060967803,R
18.648866326840377,0.004918300006758969,R
21.429598866666637,1.7749590024231559,R
20.756009142464173,2.376793457193841,R
23.309076927662623,-1.9554592720268467,R
18.437475747741356,-1.0095851081230585,R
20.12698710323195,-1.6011382639422322,R
17.007782289718023,6.796898116894576,R
12.637089854022781,-12.234093697926719,R
22.741721525242497,3.0863326254963637,R
16.44098952603044,-3.611741475549423,R
14.49327477423752,-2.7225616431876207,R
9.142678335320198,0.1317434120068901,R
7.891255578952235,0.8403228299947649,R
8.635500036475127,-3.4170176697561816,R
8.657560687251468,-4.04125678268594,R
9.24754996564024,-1.3355359620288911,R
9.89561226489247,-3.958344075420393,R
14.99781455716644,1.64299129287643,R
17.439872910031546,5.755857070176972,R
21.505192453336335,6.845747689900799,R
18.488709745456745,11.10640567005483,R
22.354327318850743,10.337923231929455,R
13.6003045488321,-0.3336594995678164,R
18.056652199140025,2.759563968192454,R
